library,selection,antibody,percent_infectivity,R1,SRA_accession
Lib1,plasmid,none,,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/170609_SN367_0933_BHMLH5BCXY_lane2/Unaligned/Project_bloom_lab/Sample_zikv-1/*R1*.fastq.gz,SRR8878405
Lib2,plasmid,none,,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/170609_SN367_0933_BHMLH5BCXY_lane2/Unaligned/Project_bloom_lab/Sample_zikv-2/*R1*.fastq.gz,SRR8878404
Lib3,plasmid,none,,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/170609_SN367_0933_BHMLH5BCXY_lane2/Unaligned/Project_bloom_lab/Sample_zikv-3/*R1*.fastq.gz,SRR8878399
wildtype,plasmid,none,,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/170609_SN367_0933_BHMLH5BCXY_lane2/Unaligned/Project_bloom_lab/Sample_zikv-wt/*R1*.fastq.gz,SRR8878396
Lib1,virus,none,,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180427_SN367_1155_BHHJMKBCX2/Unaligned/Project_bloom_lab/Sample_zikv_L1/*R1*.fastq.gz,SRR8878397
Lib2,virus,none,,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180427_SN367_1155_BHHJMKBCX2/Unaligned/Project_bloom_lab/Sample_zikv_L2/*R1*.fastq.gz,SRR8878395
Lib3,virus,none,,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180427_SN367_1155_BHHJMKBCX2/Unaligned/Project_bloom_lab/Sample_zikv_L3/*R1*.fastq.gz,SRR8878409
wildtype,virus,none,,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180427_SN367_1155_BHHJMKBCX2/Unaligned/Project_bloom_lab/Sample_zikv_WT/*R1*.fastq.gz,SRR8878408
Lib1,no-antibody,no-antibody,71.06,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180928_D00300_0621_BHMJGNBCX2/Unaligned/Project_bloom_lab/Sample_Mock_Lib1_*/*R1*.fastq.gz,SRR8878411
Lib2,no-antibody,no-antibody,132.77,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180928_D00300_0621_BHMJGNBCX2/Unaligned/Project_bloom_lab/Sample_Mock_Lib2_*/*R1*.fastq.gz,SRR8878398
Lib3,no-antibody,no-antibody,86.42,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180928_D00300_0621_BHMJGNBCX2/Unaligned/Project_bloom_lab/Sample_Mock_Lib3_*/*R1*.fastq.gz,SRR8878407
Lib1,control-antibody,control-antibody,104.65,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180928_D00300_0621_BHMJGNBCX2/Unaligned/Project_bloom_lab/Sample_HCV_Lib1_*/*R1*.fastq.gz,SRR8878406
Lib2,control-antibody,control-antibody,67.35,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180928_D00300_0621_BHMJGNBCX2/Unaligned/Project_bloom_lab/Sample_HCV_Lib2_*/*R1*.fastq.gz,SRR8878394
Lib3,control-antibody,control-antibody,80.14,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180928_D00300_0621_BHMJGNBCX2/Unaligned/Project_bloom_lab/Sample_HCV_Lib3_*/*R1*.fastq.gz,SRR8878410
Lib1,ZKA64,ZKA64,2.34,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180928_D00300_0621_BHMJGNBCX2/Unaligned/Project_bloom_lab/Sample_ZKA64_Lib1_*/*R1*.fastq.gz,SRR8878403
Lib2,ZKA64,ZKA64,1.54,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180928_D00300_0621_BHMJGNBCX2/Unaligned/Project_bloom_lab/Sample_ZKA64_Lib2_*/*R1*.fastq.gz,SRR8878402
Lib3,ZKA64,ZKA64,2.21,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180928_D00300_0621_BHMJGNBCX2/Unaligned/Project_bloom_lab/Sample_ZKA64_Lib3_*/*R1*.fastq.gz,SRR8878400
Lib1,ZKA185,ZKA185,0.00059,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180928_D00300_0621_BHMJGNBCX2/Unaligned/Project_bloom_lab/Sample_ZKA185_Lib1_*/*R1*.fastq.gz,SRR8878401
Lib2,ZKA185,ZKA185,1.93,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180928_D00300_0621_BHMJGNBCX2/Unaligned/Project_bloom_lab/Sample_ZKA185_Lib2_*/*R1*.fastq.gz,SRR8878413
Lib3,ZKA185,ZKA185,1.39,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/180928_D00300_0621_BHMJGNBCX2/Unaligned/Project_bloom_lab/Sample_ZKA185_Lib3_*/*R1*.fastq.gz,SRR8878412
